gene_id	name	dependency_score	essential	wt_biomass	ko_biomass
b2296	ackA	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1300	puuC	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b2428	murQ	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b3588	aldB	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b2780	pyrG	1.0	True	0.9823718127269785	-2.1987693185781726e-15
b3794	wecG	4.520581760355172e-15	False	0.9823718127269785	0.982371812726974
b4084	alsK	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1819	manZ	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1817	manX	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b4090	rpiB	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b0123	cueO	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b0484	copA	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1818	manY	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b0516	allC	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b2429	murP	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b3425	glpE	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b3224	nanT	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b1308	pspE	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
b0340	cynS	2.3733054241864654e-15	False	0.9823718127269785	0.9823718127269762
